public_id,category_slug,target_count,body,synonyms,hint_seeds_ru,frame_hint_ru,complexity,primary_class,playlist_slugs,onboarding_safe,team_safe
qtx-0035,reflection,5,Как связаны открытость вопроса и готовность на него отвечать?,Какая связь между степенью открытости вопроса и желанием человека отвечать? | Как открытость вопроса влияет на готовность собеседника входить в ответ?,в голосе | в теле | в выборе,"Не оценивай ответы, просто фиксируй их по факту.",advanced,analytical,reflection_loop | team_safe_openers,false,true
qtx-0036,work,5,Какие механизмы превращают вопрос из исследовательского в обвинительный?,"За счет чего исследовательский вопрос превращается в вопрос-обвинение? | Какие сдвиги делают вопрос не исследующим, а обвиняющим?",одному | с командой | что лишнее,"Замечай то, что мешает увидеть уже знакомое.",advanced,analytical,team_safe_openers,false,false
qtx-0037,morning,5,"Какие вопросы действительно годятся для карточки дня, а какие пока слишком слабы?","Какие вопросы уже подходят для карточки дня, а какие пока не тянут? | Как отличить вопросы, пригодные для карточки дня, от еще слабых формулировок?",,,working,evaluative,morning_reset | children_curiosity,true,true
qtx-0038,philosophy,5,Насколько этот вопрос способен породить новый ход мысли у неподготовленного человека?,"Какова вероятность, что этот вопрос даст новый ход мысли человеку без подготовки? | Насколько сильно этот вопрос способен сдвинуть мышление неподготовленного человека?",если это ребёнок | если поменять слово | если включить тело,"Опирайся на свой опыт, а не на правильное звучание.",advanced,evaluative,question_about_questions,false,false
qtx-0039,work,5,Какой из способов задавать вопрос бережнее для собеседника?,"Какой способ постановки вопроса оказывается мягче и безопаснее для собеседника? | Как задавать вопрос так, чтобы это было бережнее для другого человека?",одному | блокер | следующий шаг,,developmental,evaluative,team_safe_openers | children_curiosity,true,true
qtx-0040,philosophy,5,Какие критерии делают мета-вопрос пригодным для публичной ленты?,"По каким критериям можно понять, что мета-вопрос годится для публичной ленты? | Что должно быть у мета-вопроса, чтобы его имело смысл публиковать в общей ленте?",если поменять слово | если включить тело | в крайнем случае,"Опирайся на свой опыт, а не на правильное звучание.",advanced,evaluative,question_about_questions,false,false
qtx-0041,reflection,5,Какой вопрос лучше всего подходит для входа в глубокую сессию и почему он приоритетнее других?,Какой вопрос стоит взять на вход в глубокую сессию раньше остальных? | Какой стартовый вопрос для глубокой сессии сейчас самый сильный и чем он выигрывает у других?,в дыхании | в избегании | в теле,"Не оценивай ответы, просто фиксируй их по факту.",advanced,evaluative,deep_session_entry | reflection_loop,false,false
qtx-0042,work,5,"Какие риски самые серьезные, если в базе окажется слишком много похожих вопросов?","Какие угрозы становятся главными, когда база переполняется похожими вопросами? | Что опаснее всего в ситуации, когда в базе слишком много почти одинаковых вопросов?",,,working,evaluative,work_clarity,false,false
qtx-0043,work,5,Как построить минимальный цикл пополнения базы вопросов без засорения дубликатами?,"Как устроить самый простой цикл пополнения базы вопросов так, чтобы не плодить дубли? | Какой минимальный процесс нужен, чтобы база вопросов росла без лишних повторов?",с командой | блокер | до обеда,"Замечай то, что мешает увидеть уже знакомое.",advanced,projecting,work_clarity,false,false
qtx-0044,work,5,"Какие шаги нужны, чтобы превратить хороший личный вопрос в качественную публичную карточку?","Как по шагам перевести сильный личный вопрос в хорошую публичную карточку? | Что нужно сделать, чтобы из личного вопроса получилась качественная карточка для общей базы?",следующий шаг | до обеда | одному,,developmental,projecting,work_clarity | reflection_loop,false,false
qtx-0045,work,5,Какой процесс модерации нужен для новых семейств вопросов?,"Как должна выглядеть модерация для появления новых семейств вопросов? | Какой модерационный процесс нужен, чтобы новые question families входили в базу аккуратно?",одному | следующий шаг | до обеда,"Замечай то, что мешает увидеть уже знакомое.",advanced,projecting,work_clarity | question_about_questions,false,false
qtx-0046,work,5,Как организовать недельную практику вопросов для команды из 5 человек?,Как построить недельный цикл практики вопросов для маленькой команды? | Какой недельный формат вопросной практики подойдет команде из пяти человек?,с командой | блокер | до обеда,,developmental,projecting,work_clarity | team_safe_openers,true,true
qtx-0047,work,5,"Что должно входить в шаблон работы исследовательского агента, чтобы база росла аккуратно?","Какие элементы обязаны быть в рабочем шаблоне исследовательского агента для аккуратного роста базы? | Из чего должен состоять шаблон действий агента, если цель — чистый рост базы вопросов?",до обеда | следующий шаг | блокер,"Замечай то, что мешает увидеть уже знакомое.",advanced,projecting,work_clarity,false,false
qtx-0048,work,5,Как разложить задачу перевода русской базы вопросов на другие языки без потери смысла?,"Как по шагам перевести русскую базу вопросов на другие языки и не потерять смысл? | Как устроить перевод базы вопросов так, чтобы смысл не распался при смене языка?",до обеда | следующий шаг | блокер,"Замечай то, что мешает увидеть уже знакомое.",advanced,projecting,work_clarity,false,false
qtx-0049,reflection,5,"Почему я тянусь к вопросам, на которые уже знаю удобный ответ?","Почему меня так тянет к вопросам с уже готовым для меня удобным ответом? | Что во мне выбирает вопросы, где ответ заранее комфортен и знаком?",в избегании | в мелочи | в выборе,"Не оценивай ответы, просто фиксируй их по факту.",advanced,reflexive,reflection_loop,false,false
qtx-0050,reflection,5,"Какие вопросы я избегаю задавать себе, когда начинаю ошибаться?","Какие вопросы я перестаю себе задавать в момент, когда начинаю ошибаться? | От каких вопросов я внутренне ухожу, когда чувствую, что иду не туда?",в мелочи | в голосе | в избегании,"Не оценивай ответы, просто фиксируй их по факту.",advanced,reflexive,reflection_loop,false,false
qtx-0051,reflection,5,Что во мне сопротивляется по-настоящему открытому вопросу?,Какая часть меня сопротивляется действительно открытому вопросу? | Что именно внутри меня не хочет встречаться с по-настоящему открытым вопросом?,в мелочи | в выборе | в голосе,"Не оценивай ответы, просто фиксируй их по факту.",limit,reflexive,deep_session_entry,false,false
qtx-0052,reflection,5,"Как я понимаю, что задаю вопрос ради исследования, а не ради самооправдания?","По каким признакам я замечаю, что спрашиваю ради исследования, а не ради оправдания себя? | Как я отличаю в себе исследовательский вопрос от вопроса ради самооправдания?",в теле | в избегании | в выборе,"Не оценивай ответы, просто фиксируй их по факту.",advanced,reflexive,reflection_loop,false,false
qtx-0053,reflection,5,"Какие мои внутренние правила делают некоторые вопросы ""запрещенными""?",Какие внутренние правила запрещают мне задавать некоторые вопросы? | За счет каких моих скрытых правил часть вопросов становится для меня недоступной?,в дыхании | в голосе | в мелочи,"Не оценивай ответы, просто фиксируй их по факту.",limit,reflexive,deep_session_entry,false,false
qtx-0054,reflection,5,"Что меняется во мне, когда я перестаю искать ответ и начинаю уточнять вопрос?","Что происходит со мной, когда я смещаюсь с поиска ответа на уточнение самого вопроса? | Как я меняюсь внутри в момент перехода от ответа к прояснению вопроса?",в голосе | в мелочи | в избегании,"Не оценивай ответы, просто фиксируй их по факту.",advanced,reflexive,reflection_loop | deep_session_entry | question_about_questions,false,false
qtx-0055,philosophy,5,"Какие вопросы нам нужно задать, чтобы придумать новый класс вопросов, а не очередной пример старого?","Какими вопросами стоит начать, если мы хотим открыть новый класс вопросов, а не повторить старый? | Какие вопросы ведут к рождению нового класса, а не еще одного экземпляра уже известного?",если включить тело | в крайнем случае | если поменять слово,"Опирайся на свой опыт, а не на правильное звучание.",advanced,meta_generative,question_about_questions | creative_breakout,false,false
qtx-0056,philosophy,5,По каким вопросам стоит проверять качество самого вопроса перед публикацией?,"Какими вопросами лучше тестировать качество вопроса до публикации? | Какие проверочные вопросы стоит задать самому вопросу перед тем, как выпускать его в базу?",если включить тело | если это ребёнок | если поменять слово,"Опирайся на свой опыт, а не на правильное звучание.",advanced,meta_generative,question_about_questions | work_clarity,false,false
qtx-0057,philosophy,5,Какие вопросы открывают пространство для построения целого дерева исследования?,"Какие вопросы лучше всего запускают целое дерево дальнейшего исследования? | С каких вопросов начинается пространство, из которого может вырасти целое дерево поиска?",если это ребёнок | если поменять слово | в крайнем случае,"Опирайся на свой опыт, а не на правильное звучание.",advanced,meta_generative,question_about_questions | deep_session_entry,false,false
qtx-0058,work,5,"Какие вопросы нужно задать перед тем, как просить ИИ сгенерировать новый вопрос?","Какие предварительные вопросы стоит задать до запроса к ИИ на генерацию нового вопроса? | С каких вопросов лучше начать, прежде чем просить ИИ придумать новый вопрос?",,,working,meta_generative,question_about_questions | work_clarity,false,false
qtx-0059,philosophy,5,"Какими вопросами лучше всего проверять, не стала ли наша таксономия слишком узкой?","Какие вопросы помогают заметить, что таксономия начала сужать мышление слишком сильно? | По каким вопросам можно проверить, не сузилась ли наша таксономия больше, чем нужно?",если поменять слово | в крайнем случае | если включить тело,"Опирайся на свой опыт, а не на правильное звучание.",advanced,meta_generative,question_about_questions,false,false
qtx-0060,philosophy,5,"Какие вопросы помогают понять, что мы исследуем не тему, а способ мышления о теме?","Какими вопросами можно проверить, что предметом исследования стал способ мышления, а не сама тема? | Какие вопросы показывают, что мы уже работаем не с темой, а с мышлением о ней?",если это ребёнок | в крайнем случае | если поменять слово,"Опирайся на свой опыт, а не на правильное звучание.",limit,meta_generative,question_about_questions | deep_session_entry,false,false
qtx-0061,memory,5,Какие 5 вопросов из детства ты помнишь дословно?,"Какие детские вопросы до сих пор звучат у тебя в памяти почти слово в слово? | Вспомни пять вопросов из детства, которые сохранились у тебя почти дословно.",,,working,retrieval,memory_sparks | reflection_loop,false,false
qtx-0062,memory,7,Какие 7 коротких фраз поддержки ты слышал в нужный момент?,"Какие короткие слова поддержки когда-то пришли к тебе именно вовремя? | Вспомни семь коротких фраз, которые поддержали тебя в нужный момент.",,,basic,retrieval,memory_sparks | morning_reset,true,false
qtx-0063,children,5,Какие 5 школьных вопросов тебе до сих пор интересно было бы обсудить заново?,"Какие школьные вопросы тебе все еще хочется переоткрыть уже сегодняшним взглядом? | Назови пять вопросов из школьного времени, к которым тебе интересно вернуться заново.",,,basic,retrieval,children_curiosity | memory_sparks,true,false
qtx-0064,reflection,3,Какие 3 момента за последнюю неделю сделали разговор честнее?,"В какие три момента на прошлой неделе разговор вдруг стал честнее? | Назови три недавних эпизода, когда беседа стала заметно честнее.",,,working,retrieval,reflection_loop | team_safe_openers,true,true
qtx-0065,memory,8,"Какие 8 предметов в доме напоминают тебе о людях, которых рядом нет?","Какие вещи дома сразу возвращают тебя к тем, кого сейчас нет рядом? | Назови восемь предметов, через которые ты вспоминаешь отсутствующих людей.",касание | комната | погода,,developmental,retrieval,memory_sparks | deep_session_entry,false,false
qtx-0066,work,5,Какие 5 тем чаще всего всплывают у команды в конце трудной недели?,"Какие темы команда почти неизбежно поднимает к концу тяжелой недели? | Назови пять сюжетов, которые чаще всего возвращаются в команде после сложной недели.",,,working,retrieval,work_clarity | team_safe_openers,true,true
qtx-0067,reflection,5,"Как выглядит безопасный разговор между двумя людьми, если смотреть на него изнутри?","Как изнутри ощущается разговор, в котором двум людям безопасно оставаться живыми и честными? | Опиши, как выглядит безопасная беседа на двоих, если быть внутри нее, а не снаружи.",,,working,descriptive,reflection_loop | team_safe_openers,true,true
qtx-0068,children,5,"Как выглядит урок, после которого детям хочется спросить еще?","Опиши урок, который оставляет детям не усталость, а желание спросить еще. | Как можно описать урок, после которого у детей рождаются новые вопросы?",,,basic,descriptive,children_curiosity | creative_breakout,true,false
qtx-0069,reflection,5,"Что меняется в лице и голосе человека, когда ему действительно интересен вопрос?","Как по лицу и голосу заметно, что вопрос человеку правда интересен? | Опиши, что происходит с голосом и лицом, когда вопрос задевает живой интерес.",,,basic,descriptive,reflection_loop | team_safe_openers,true,true
qtx-0070,reflection,5,"Как выглядит маленькая семейная сцена, в которой вопрос делает воздух легче?","Опиши маленький семейный эпизод, где один вопрос вдруг снимает напряжение в воздухе. | Как можно описать семейную сцену, в которой вопрос делает пространство легче для всех?",,,working,descriptive,reflection_loop | deep_session_entry,true,false
qtx-0071,reflection,5,"Как выглядит мысль, которую еще страшно произнести вслух?","Опиши мысль, которая уже есть внутри, но которую пока страшно сказать вслух. | Как можно описать внутреннюю мысль, еще не готовую выйти в речь?",в дыхании | в выборе | в теле,"Не оценивай ответы, просто фиксируй их по факту.",advanced,descriptive,reflection_loop | deep_session_entry,false,false
qtx-0072,work,5,Как выглядит хороший вопрос для первого дня в новом сообществе?,"Опиши вопрос, который уместен в первый день человека в новом сообществе. | Как можно описать удачный первый вопрос для входа в новое сообщество?",,,basic,descriptive,team_safe_openers | morning_reset,true,true
qtx-0073,philosophy,5,"На какие типы можно разделить вопросы, которые сближают людей?","Какие типы вопросов действительно работают на сближение между людьми? | Как можно разложить по типам вопросы, которые помогают людям становиться ближе?",если это ребёнок | если поменять слово | если включить тело,"Опирайся на свой опыт, а не на правильное звучание.",developmental,classifying,question_about_questions | reflection_loop,true,false
qtx-0074,children,5,"Какие виды учебных вопросов дети задают из любопытства, а какие — из тревоги?","На какие типы можно разделить детские учебные вопросы по их источнику: интерес или тревога? | Как различить виды детских вопросов, идущих из любопытства, и вопросов, идущих из тревоги?",,,working,classifying,children_curiosity | question_about_questions,true,false
qtx-0075,work,5,"На какие группы можно разделить команды по тому, как они обращаются с неизвестностью?","Какие типы команд можно выделить по их способу обращаться с неизвестностью? | Как можно классифицировать команды по тому, как они держат неясность и неопределенность?",,,working,classifying,work_clarity | team_safe_openers,true,true
